sentId, decision
"library#01", "AMBIGUOUS"
"library#02", "AMBIGUOUS"
"library#03", "UNAMBIGUOUS"
"library#04", "AMBIGUOUS"
"library#05", "AMBIGUOUS"
"library#06", "AMBIGUOUS"
"library#07", "AMBIGUOUS"
"library#08", "UNAMBIGUOUS"
"library#09", "UNAMBIGUOUS"
"library#10", "AMBIGUOUS"
"library#11", "AMBIGUOUS"
"library#12", "AMBIGUOUS"
"library#13", "AMBIGUOUS"
"library#14", "UNAMBIGUOUS"
"library#15", "AMBIGUOUS"
"library#16", "AMBIGUOUS"
"library#17", "AMBIGUOUS"
"library#18", "AMBIGUOUS"
"library#19", "AMBIGUOUS"
"library#20", "AMBIGUOUS"
"library#21", "AMBIGUOUS"
"library#22", "AMBIGUOUS"
"library#23", "AMBIGUOUS"
"library#24", "AMBIGUOUS"
"library#25", "AMBIGUOUS"
"weather#01", "AMBIGUOUS"
"weather#02", "AMBIGUOUS"
"weather#03", "AMBIGUOUS"
"weather#04", "AMBIGUOUS"
"weather#05", "AMBIGUOUS"
"weather#06", "AMBIGUOUS"
"weather#07", "UNAMBIGUOUS"
"weather#08", "AMBIGUOUS"
"weather#09", "AMBIGUOUS"
"weather#10", "AMBIGUOUS"
"weather#11", "AMBIGUOUS"
"weather#12", "AMBIGUOUS"
"weather#13", "UNAMBIGUOUS"
"weather#14", "AMBIGUOUS"
"weather#15", "AMBIGUOUS"
"weather#16", "UNAMBIGUOUS"
"weather#17", "AMBIGUOUS"
"weather#18", "AMBIGUOUS"
"weather#19", "AMBIGUOUS"
"weather#20", "AMBIGUOUS"
"railway#01", "AMBIGUOUS"
"railway#02", "AMBIGUOUS"
"railway#03", "UNAMBIGUOUS"
"railway#04", "AMBIGUOUS"
"railway#05", "AMBIGUOUS"
"railway#06", "AMBIGUOUS"
"railway#07", "AMBIGUOUS"
"railway#08", "UNAMBIGUOUS"
"railway#09", "AMBIGUOUS"
"railway#10", "AMBIGUOUS"
"railway#11", "AMBIGUOUS"
"railway#12", "UNAMBIGUOUS"
"railway#13", "AMBIGUOUS"
"railway#14", "AMBIGUOUS"
"railway#15", "AMBIGUOUS"
"railway#16", "AMBIGUOUS"
"railway#17", "AMBIGUOUS"
"railway#18", "UNAMBIGUOUS"
"railway#19", "AMBIGUOUS"
"railway#20", "AMBIGUOUS"
"railway#21", "AMBIGUOUS"
"railway#22", "AMBIGUOUS"
"railway#23", "UNAMBIGUOUS"
"railway#24", "AMBIGUOUS"
"railway#25", "AMBIGUOUS"
"railway#26", "AMBIGUOUS"
"railway#27", "AMBIGUOUS"
"railway#28", "AMBIGUOUS"
"railway#29", "AMBIGUOUS"
"railway#30", "UNAMBIGUOUS"
"railway#31", "AMBIGUOUS"
"railway#32", "AMBIGUOUS"
"railway#33", "AMBIGUOUS"
"railway#34", "UNAMBIGUOUS"
"railway#35", "AMBIGUOUS"
"railway#36", "AMBIGUOUS"
"railway#37", "AMBIGUOUS"
"railway#38", "AMBIGUOUS"
"railway#39", "AMBIGUOUS"
"railway#40", "AMBIGUOUS"
"railway#41", "AMBIGUOUS"
"railway#42", "AMBIGUOUS"
"railway#43", "UNAMBIGUOUS"
"railway#44", "AMBIGUOUS"
"railway#45", "UNAMBIGUOUS"
"railway#46", "UNAMBIGUOUS"
"railway#47", "AMBIGUOUS"
"railway#48", "AMBIGUOUS"
"railway#49", "UNAMBIGUOUS"
"railway#50", "AMBIGUOUS"
"railway#51", "AMBIGUOUS"
"railway#52", "AMBIGUOUS"
"railway#53", "UNAMBIGUOUS"
"railway#54", "UNAMBIGUOUS"
"railway#55", "AMBIGUOUS"
"railway#56", "AMBIGUOUS"
"railway#57", "AMBIGUOUS"
"railway#58", "AMBIGUOUS"
"railway#59", "AMBIGUOUS"
"railway#60", "AMBIGUOUS"
"railway#61", "AMBIGUOUS"
"railway#62", "AMBIGUOUS"
"home#01", "AMBIGUOUS"
"home#02", "AMBIGUOUS"
"home#03", "AMBIGUOUS"
"space#01", "AMBIGUOUS"
"space#02", "AMBIGUOUS"
"space#03", "AMBIGUOUS"
"space#04", "AMBIGUOUS"
"space#05", "AMBIGUOUS"
"space#06", "AMBIGUOUS"
"space#07", "AMBIGUOUS"
"space#08", "AMBIGUOUS"
"space#09", "AMBIGUOUS"
"space#10", "AMBIGUOUS"
"space#11", "AMBIGUOUS"
"space#12", "AMBIGUOUS"
"space#13", "AMBIGUOUS"
"space#14", "AMBIGUOUS"
"space#15", "AMBIGUOUS"
"space#16", "AMBIGUOUS"
"space#17", "AMBIGUOUS"
"space#18", "AMBIGUOUS"
"space#19", "AMBIGUOUS"
"space#20", "AMBIGUOUS"
